Hit_def,Accession,Length,Frame,E_value,Score,Identities,Align_length,Percent_identity
hypothetical protein SNE40_022762 [Patella caerulea],KAK6165958,409,-2,3.8472e-44,391.0,69,87,79.31
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha [Patella vulgata],XP_050418652,409,-2,5.57898e-44,390.0,69,87,79.31
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta [Bulinus truncatus],KAH9525352,343,-2,1.61075e-43,383.0,70,88,79.55
1-phosphatidylinositol-4-phosphate 5-kinase [Mytilus galloprovincialis],VDH95280,299,-2,7.71037e-43,375.0,68,88,77.27
hypothetical protein BsWGS_00345 [Bradybaena similaris],BFY97305,363,-2,5.10518e-42,356.0,68,88,77.27
hypothetical protein C0Q70_09769 [Pomacea canaliculata],PVD30502,352,-2,7.99461e-39,352.0,63,87,72.41
"PI42B-like protein, partial [Mya arenaria]",WAQ93696,286,-2,4.07242e-26,262.0,48,61,78.69
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Dreissena polymorpha],XP_052245609,307,-2,6.1318e-26,262.0,48,62,77.42
hypothetical protein EGW08_004295 [Elysia chlorotica],RUS87940,279,-3,1.23593e-25,205.0,34,50,68.0
hypothetical protein LOTGIDRAFT_169923 [Lottia gigantea] >gb|ESO82453.1| hypothetical protein LOTGIDRAFT_169923 [Lottia gigantea],XP_009066807,280,-3,1.42162e-25,214.0,38,54,70.37
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Dreissena polymorpha],XP_052245629,334,-2,1.04214e-23,248.0,46,61,75.41
hypothetical protein ACHWQZ_G013304 [Mnemiopsis leidyi],KAL5253464,392,-2,7.49825e-22,180.0,43,98,43.88
hypothetical protein ACHWQZ_G013304 [Mnemiopsis leidyi],KAL5253467,411,-2,7.55283e-22,180.0,43,98,43.88
hypothetical protein ACHWQZ_G013304 [Mnemiopsis leidyi],KAL5253465,425,-2,8.53871e-22,180.0,43,98,43.88
hypothetical protein ACHWQZ_G013304 [Mnemiopsis leidyi],KAL5253466,312,-2,8.66682e-22,180.0,40,93,43.01
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X8 [Bolinopsis microptera],XP_063681229,389,-2,8.84028e-22,181.0,39,93,41.94
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X5 [Bolinopsis microptera],XP_063681225,411,-2,8.9767e-22,181.0,39,93,41.94
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X4 [Bolinopsis microptera],XP_063681224,414,-2,9.50724e-22,180.0,39,93,41.94
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X3 [Bolinopsis microptera],XP_063681223,427,-2,9.73862e-22,180.0,39,93,41.94
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X7 [Bolinopsis microptera],XP_063681227,392,-2,9.99936e-22,180.0,39,93,41.94
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like [Crassostrea virginica],XP_022309206,129,-3,1.86935e-21,220.0,40,54,74.07
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X6 [Bolinopsis microptera],XP_063681226,408,-2,3.05388e-20,167.0,41,109,37.61
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X2 [Bolinopsis microptera] >ref|XP_063681222.1| phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X2 [Bolinopsis microptera],XP_063681221,430,-2,3.23108e-20,167.0,41,109,37.61
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X1 [Bolinopsis microptera],XP_063681220,440,-2,3.28303e-20,167.0,41,109,37.61
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X9 [Bolinopsis microptera],XP_063681230,443,-2,3.39225e-20,167.0,41,109,37.61
unnamed protein product [Candidula unifasciata],CAG5128818,356,-3,1.10022e-18,155.0,29,44,65.91
hypothetical protein DPMN_061446 [Dreissena polymorpha],KAH3718640,55,-2,8.69239e-17,183.0,33,41,80.49
phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like isoform X1 [Crassostrea virginica],XP_022309207,123,-3,4.1546e-15,177.0,40,83,48.19
hypothetical protein ACJMK2_023879 [Sinanodonta woodiana],KAL3832219,282,-2,1.35305e-14,182.0,35,42,83.33
"LOW QUALITY PROTEIN: phosphatidylinositol 5-phosphate 4-kinase type-2 beta-like, partial [Haliotis rubra]",XP_046557026,300,-2,1.29877e-12,168.0,37,46,80.43
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Mya arenaria],XP_052764125,2462,-2,0.0420464,92.0,26,84,30.95
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X3 [Mya arenaria],XP_052764127,2414,-2,0.0457226,91.0,26,84,30.95
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Mya arenaria],XP_052764575,2462,-2,0.0466227,91.0,26,84,30.95
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X2 [Mya arenaria],XP_052764576,2418,-2,0.0470319,91.0,26,84,30.95
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X2 [Mya arenaria],XP_052764126,2418,-2,0.0488322,91.0,26,84,30.95
hypothetical protein ACF0H5_022855 [Mactra antiquata],KAL4218119,2217,-2,0.0663441,90.0,26,87,29.89
LOW QUALITY PROTEIN: 1-phosphatidylinositol 3-phosphate 5-kinase-like [Mercenaria mercenaria],XP_053382356,2264,-2,0.105134,89.0,26,84,30.95
hypothetical protein BsWGS_24968 [Bradybaena similaris],BFZ21929,2438,-2,0.133252,88.0,26,88,29.55
hypothetical protein BsWGS_24969 [Bradybaena similaris],BFZ21930,2385,-2,0.143507,87.0,26,88,29.55
hypothetical protein ScPMuIL_010979 [Solemya velum],KAL5012428,638,-2,0.206542,86.0,18,64,28.12
1-phosphatidylinositol 3-phosphate 5-kinase-like [Ruditapes philippinarum],XP_060560363,2261,-2,0.291655,85.0,25,84,29.76
hypothetical protein C0Q70_01225 [Pomacea canaliculata],PVD38609,1977,-2,0.309685,85.0,21,75,28.0
1-phosphatidylinositol 3-phosphate 5-kinase-like [Pomacea canaliculata],XP_025088502,2130,-2,0.371015,84.0,21,75,28.0
hypothetical protein KUTeg_000104 [Tegillarca granosa],KAJ8321633,1578,-2,0.64662,82.0,23,82,28.05
hypothetical protein DPMN_069245 [Dreissena polymorpha],KAH3709780,541,-2,1.33077,80.0,25,84,29.76
"hypothetical protein BaRGS_00010228, partial [Batillaria attramentaria]",KAK7498568,199,-2,1.5401,78.0,21,75,28.0
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X6 [Ostrea edulis],XP_055998373,2077,-2,1.58731,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X5 [Ostrea edulis],XP_055998372,2085,-2,1.61737,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X7 [Ostrea edulis],XP_055998374,2059,-2,1.63167,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X4 [Ostrea edulis],XP_055998371,2096,-2,1.63283,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X8 [Ostrea edulis],XP_055998376,2049,-2,1.6466,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X3 [Ostrea edulis],XP_055998370,2106,-2,1.6484,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Ostrea edulis],XP_055998367,2132,-2,1.64919,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X2 [Ostrea edulis],XP_055998368,2122,-2,1.67986,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X9 [Ostrea edulis],XP_055998377,1923,-2,1.73651,79.0,25,87,28.74
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X3 [Physella acuta],XP_059146645,2260,-2,1.83087,79.0,25,81,30.86
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Physella acuta] >ref|XP_059146644.1| 1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X2 [Physella acuta],XP_059146643,2313,-2,1.91961,79.0,25,81,30.86
1-phosphatidylinositol 3-phosphate 5-kinase isoform X1 [Magallana gigas] >ref|XP_065940323.1| 1-phosphatidylinositol 3-phosphate 5-kinase isoform X1 [Magallana gigas],XP_034323711,2143,-2,1.98673,79.0,25,80,31.25
1-phosphatidylinositol 3-phosphate 5-kinase isoform X5 [Magallana gigas],XP_065940327,2096,-2,2.02227,79.0,25,80,31.25
1-phosphatidylinositol 3-phosphate 5-kinase isoform X4 [Magallana gigas],XP_065940326,2105,-2,2.04151,79.0,25,86,29.07
1-phosphatidylinositol 3-phosphate 5-kinase isoform X3 [Magallana gigas],XP_065940325,2117,-2,2.04196,79.0,25,86,29.07
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X4 [Magallana angulata],XP_052697493,2118,-2,2.13915,78.0,25,86,29.07
1-phosphatidylinositol 3-phosphate 5-kinase isoform X2 [Magallana gigas],XP_065940324,2131,-2,2.13966,78.0,25,80,31.25
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X6 [Magallana angulata],XP_052697506,2097,-2,2.17844,78.0,25,80,31.25
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X5 [Magallana angulata],XP_052697498,2106,-2,2.19915,78.0,25,86,29.07
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X3 [Magallana angulata],XP_052697488,2132,-2,2.26241,78.0,25,86,29.07
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Magallana angulata] >ref|XP_052697474.1| 1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Magallana angulata],XP_052697466,2144,-2,2.2629,78.0,25,86,29.07
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X2 [Magallana angulata],XP_052697480,2143,-2,2.28399,78.0,25,86,29.07
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X4 [Dreissena polymorpha],XP_052249950,2389,-2,2.33601,78.0,25,84,29.76
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X3 [Dreissena polymorpha],XP_052249949,2391,-2,2.33607,78.0,25,84,29.76
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Dreissena polymorpha] >ref|XP_052249947.1| 1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X1 [Dreissena polymorpha],XP_052249946,2436,-2,2.35937,78.0,25,84,29.76
1-phosphatidylinositol 3-phosphate 5-kinase-like isoform X2 [Dreissena polymorpha],XP_052249948,2435,-2,2.40359,78.0,25,84,29.76
"unnamed protein product, partial [Lymnaea stagnalis]",CAL1530359,1848,-2,2.46806,78.0,26,81,32.1
1-phosphatidylinositol 3-phosphate 5-kinase isoform X2 [Magallana gigas],XP_065940332,744,-2,2.50614,78.0,25,80,31.25
1-phosphatidylinositol 3-phosphate 5-kinase isoform X3 [Magallana gigas],XP_065940333,709,-2,2.5148,78.0,25,80,31.25
1-phosphatidylinositol 3-phosphate 5-kinase isoform X1 [Magallana gigas],XP_065940329,756,-2,2.60607,78.0,25,80,31.25
1-phosphatidylinositol 3-phosphate 5-kinase [Aplysia californica],XP_035827768,2460,-2,2.84197,77.0,26,81,32.1
